diseaseId,disease_mention,geneId,gene_mention,pmid,raw_sentence,associationType
MESH:D009369,cancer,15184,histone deacetylase 5,28029254,UNASSIGNED: Guanidine and morpholine functionalized aliphatic polycarbonate polymers are able to deliver efficiently histone deacetylase 5 (HDAC5) siRNA into the cytoplasm of cancer cells in vitro leading to a decrease of cell proliferation were previously developed.,Negative
MESH:D011475,overall survival,2006,ELN,28029318,Methods Data from a Chinese multi-institutional registry and the US SEER database on stage I to IIIA resected NSCLC (2001 to 2008) were analyzed for the relationship between the ELN count and stage migration and overall survival (OS) by using multivariable models.,Negative
MESH:C536769,Asian female,1956,epidermal growth factor receptor,28029530,INTRODUCTION: We examined the effect of access to epidermal growth factor receptor (EGFR) tyrosine kinase inhibitor (TKI) therapy on survival for Asian female (AF) EGFR mutation-enriched patients with advanced lung adenocarcinoma.,Negative
MESH:D018318,plexiform neurofibromas,4763,neurofibromatosis type 1,28029918,"BACKGROUND: Effective medical therapies are lacking for the treatment of neurofibromatosis type 1-related plexiform neurofibromas, which are characterized by elevated RAS-mitogen-activated protein kinase (MAPK) signaling.",Negative
MESH:D049290,AB,733688,TXNIP,28030356,The objective of the present study was to analyse the immune response to A. suum mounted by pigs with genotype AA (n = 24) and AB (n = 23) at the TXNIP locus.,Negative
MESH:D007239,infection,780408,CCL17,28030356,"Furthermore, statistical analysis testing for the effect of infection separately in each genotype showed significant up-regulation of IL-13 (P<0.05) and CCL17 (P<0.05) following A. suum infection in the 'resistant' AA genotype and not in the 'susceptible' AB genotype.",Negative
MESH:D014946,decrease in wound infection,15251,HIF1a,28030490,Similar results of decrease in wound infection and HIF1a were obtained when A. baumannii wild type was replaced with its derivative mutant [INCREMENT]BasD deficient in acinetobactin production.,Negative
MESH:D004407,dysgerminoma,6736,SRY,28030592,"Here we report a de novo mutation 224G>T (R75M) in SRY associated with a phenotypic female, 46, XY karyotype and dysgerminoma.",Negative
MESH:D013964,thyroid cancer,109880,Braf,28030816,We performed the large-scale analysis of miRNA expression during PTC progression in BRAFT1799A-transgenic animals (Tg-Braf) and thyroid cancer cell lines and identified the marked downregulation of several miRNAs from the region 14q32.,Negative
MESH:D015179,Colorectal cancers,387609,RAF,28030835,Colorectal cancers with mutant RAS/RAF are therapy refractory.,Negative
MESH:D009336,necrosis,16153,interleukin (IL)-10,28031106,"Concentrations of interleukin (IL)-10, IL-6, IL-1b and tumor necrosis factor (TNF)-a in sera were measured by ELISA.",Negative
MESH:D009369,tumor,16153,interleukin (IL)-10,28031106,"Concentrations of interleukin (IL)-10, IL-6, IL-1b and tumor necrosis factor (TNF)-a in sera were measured by ELISA.",Negative
MESH:D009336,necrosis,16176,IL-1b,28031106,"Concentrations of interleukin (IL)-10, IL-6, IL-1b and tumor necrosis factor (TNF)-a in sera were measured by ELISA.",Negative
MESH:D009369,tumor,16176,IL-1b,28031106,"Concentrations of interleukin (IL)-10, IL-6, IL-1b and tumor necrosis factor (TNF)-a in sera were measured by ELISA.",Negative
MESH:D009336,necrosis,16193,IL-6,28031106,"Concentrations of interleukin (IL)-10, IL-6, IL-1b and tumor necrosis factor (TNF)-a in sera were measured by ELISA.",Negative
MESH:D009369,tumor,16193,IL-6,28031106,"Concentrations of interleukin (IL)-10, IL-6, IL-1b and tumor necrosis factor (TNF)-a in sera were measured by ELISA.",Negative
MESH:D014947,burn injury,16658,MafB,28031160,"Overall, results demonstrate that b-adrenergic blockers following burn injury can redirect the hematopoietic commitment toward erythroid lineage by lowering MafB expression in multipotent progenitors and be of potential therapeutic value to increase erythropoietin responsiveness in burn patients.",Negative
MESH:D007674,kidney hypoplasia,70495,PRR,28031172,"Previously, we demonstrated that conditional ablation of the PRR in the UB in PRR(UB-/-) mice causes severe defects in UB branching, resulting in marked kidney hypoplasia at birth.",Negative
MESH:D013276,gastric ulcers,3235184,TK1402,28031283,"We previously demonstrated that strain TK1402, which was isolated from a Japanese patient with duodenal and gastric ulcers, has high biofilm-forming ability in vitro relative to other strains.",Negative
MESH:D053632,SCID,1822,NOD,28030837,"Accordingly, the senescent HCT116 cells treated with BAF A1 when injected into NOD/SCID mice formed tumors, in contrast to the controls.Our results suggest that senescent cancer cells that appear during therapy, can be considered as dormant cells that contribute to cancer re-growth, when chemotherapeutic treatment is stopped.",Negative
MESH:C536657,REAL-TNF,3725,REAL-JUN,28031022,"Moreover, the results of regulatory network showed that the anti-aging related target pairs with high correlated degrees of Kidney Yin-tonifying herbal medicines included TNF-PTGS2, TNF-CASP3, PTGS2-CASP3, CASP3-NOS2 and TNF-NOS2, and that of kidney Yang-tonifying herbal medicines included REAL-TNF, REAL-NFKBIA, REAL-JUN, PTGS2-SOD1 and TNF-IL6.",Negative
MESH:C536657,REAL-TNF,4792,REAL-NFKBIA,28031022,"Moreover, the results of regulatory network showed that the anti-aging related target pairs with high correlated degrees of Kidney Yin-tonifying herbal medicines included TNF-PTGS2, TNF-CASP3, PTGS2-CASP3, CASP3-NOS2 and TNF-NOS2, and that of kidney Yang-tonifying herbal medicines included REAL-TNF, REAL-NFKBIA, REAL-JUN, PTGS2-SOD1 and TNF-IL6.",Negative
MESH:D001169,adjuvant-induced arthritis,114558,beclin 1,28031105,"Objective To observe the effect of Xinfeng Capsule (XFC) on autophagy related gene (ATG), microtubule-associated protein 1 light chain 3II (LC3-II), beclin 1 in the rat model of adjuvant-induced arthritis (AA).",Negative
MESH:D001168,arthritis,114558,beclin 1,28031105,"Objective To observe the effect of Xinfeng Capsule (XFC) on autophagy related gene (ATG), microtubule-associated protein 1 light chain 3II (LC3-II), beclin 1 in the rat model of adjuvant-induced arthritis (AA).",Negative
MESH:C535808,DDP,11009,interleukin-24,28031113,Objective To investigate the changes of apoptosis-associated genes in human lung adenocarcinoma cell line A549 after treated by the recombinant human interleukin-24 (rhIL-24) combined with cisplatin (DDP).,Negative
MESH:D013167,AS,345611,IRGM,28031552,The gist of current study is to assess the role of IBD-associated autophagy gene IRGM on AS susceptibility in a Chinese Han population.,Negative
MESH:D016720,Pneumocystis,5167,Pca1,28031260,"To this end, we have identified a unique mouse Pneumocystis surface protein, designated Pneumocystis cross-reactive antigen 1 (Pca1), as a potential vaccine candidate.",Negative
MESH:D064420,cytotoxicity,16642,NKG2C,28031335,These data suggest ThCTL are marked by the expression of NKG2C/E and represent a unique CD4 effector population specialized for cytotoxicity.,Negative
MESH:D017827,type,3630,Insulin,28031420,"RESEARCH DESIGN AND METHODS: This study used cross-sectional analyses and included 1,225 participants with and without type 2 diabetes in the Insulin Resistance Atherosclerosis Study (IRAS).",Negative
MESH:D054198,ALL,11651,Akt,28031181,"In pre-BCR<sup>+</sup> ALL, ibrutinib thwarted autonomous and induced pre-BCR signaling, resulting in deactivation of PI3K/Akt signaling.",Negative
MESH:D054198,ALL,20315,CXCL12,28031181,Ibrutinib inhibited ALL cell migration toward CXCL12 and beneath marrow stromal cells and reduced CD44 expression.,Negative
MESH:D006332,cardiac hypertrophy,25125,Signal transducer and activator of transcription 3,28031326,Signal transducer and activator of transcription 3 (STAT-3)-mediated signaling in relation to upregulated collagen expression in fibroblasts during cardiac hypertrophy is well defined.,Negative
MESH:D006984,hypertrophy,25125,Signal transducer and activator of transcription 3,28031326,Signal transducer and activator of transcription 3 (STAT-3)-mediated signaling in relation to upregulated collagen expression in fibroblasts during cardiac hypertrophy is well defined.,Negative
MESH:D009362,metastasis,20692,SPARC,28031408,The role of SPARC in metastasis involved a COX-2-independent enhancement of cell disengagement from the primary tumor and adherence to the lungs that fostered metastasis implantation.,Negative
MESH:D015431,weight loss,18145,NPC1,28031458,"Significant improvements in liver pathology and function were achieved by this treatment regimen; however, NPC1 protein maturation and levels, disease progression, weight loss, and animal morbidity were not detectably altered.",Negative
MESH:D017728,anaplastic large-cell lymphoma,6098,ROS1,28032129,"METHODS: Sixty-four children with solid tumors or anaplastic large-cell lymphoma (ALCL) enrolled on a phase 1/2 trial of the ALK, MET and ROS1 inhibitor, crizotinib, had pharmacokinetic sampling after the first dose (n  =  15) or at steady state (n  =  49).",Negative
MESH:D001943,breast cancer,67078,P-gp,28031414,"However, little information exists on how PBDEs interact with ABC transporters such as P-glycoprotein (P-gp) and breast cancer resistance protein (BCRP).",Negative
MESH:C562869,secretory deficiency,3630,insulin,28031464,"In type-2 diabetes (T2D), severely reduced islet syntaxin-1A (Syn-1A) levels contribute to insulin secretory deficiency.",Negative
MESH:D003092,colitis,57314,Th1,28031748,A murine model of acute Th1/Th17 colitis (i.e.,Negative
MESH:D016609,HD,627,BDNF,28031779,"The comparison of BDNF values, using a Kruskal Wallis test, between patients with DM2, in HD and healthy controls showed statistical differences (P < 0.001).",Negative
MESH:D020271,inherited neurodegenerative disease,3064,huntingtin,28031871,"Huntington's disease is an inherited neurodegenerative disease caused by the misfolding of an abnormally expanded polyglutamine (polyQ) region in the protein huntingtin (Htt), polyQHtt.",Negative
MESH:C536223,Proximal symphalangism,8200,SYM1B,28032038,UNASSIGNED: Proximal symphalangism (SYM1B) (OMIM 615298) is an autosomal dominant developmental disorder affecting joint fusion.,Negative
MESH:D007022,hypotension,171104,GPER,28032633,GPER activation (G1) only unraveled a modest EtOH-evoked hypotension and elevation in myocardial ROS.,Negative
MESH:D009202,myocardial ROS,171104,GPER,28032633,GPER activation (G1) only unraveled a modest EtOH-evoked hypotension and elevation in myocardial ROS.,Negative
MESH:C535607,AGS,7415,VCP,28032027,Knock-down of VCP by siRNA enhanced sensitivity to TRAIL in AGS cells.,Negative
MESH:C535607,AGS,8743,TRAIL,28032027,Knock-down of VCP by siRNA enhanced sensitivity to TRAIL in AGS cells.,Negative
MESH:C566610,axis,6387,SDF-1,28032520,"The SDF-1-CXCR4 axis plays an essential role in the regulation of platelet production, by directing megakaryocyte (MK) migration toward the vascular niche, thus allowing terminal maturation and proplatelet formation, and also regulates platelet function in an autocrine manner.",Negative
MESH:C566610,axis,6387;7852,SDF-1-CXCR4,28032520,"The SDF-1-CXCR4 axis plays an essential role in the regulation of platelet production, by directing megakaryocyte (MK) migration toward the vascular niche, thus allowing terminal maturation and proplatelet formation, and also regulates platelet function in an autocrine manner.",Negative
MESH:D014947,trauma,309626,RING1,28032293,RING1 protein level detected by western blot peaked at day 3 after trauma and then decreased gradually.,Negative
MESH:D020295,midbrain and amygdala,35761,dACC,28032303,"Implicit emotional processing activated insula/IFG, dACC/dMPFC, midbrain and amygdala.",Negative
MESH:D030342,progressive disease,7224,TRPC5,28032400,"Furthermore, increased cirExo-TRPC5 level after chemotherapy preceded progressive disease (PD) based on imaging examination and strongly predicted acquired chemoresistance.",Negative
MESH:C535533,ICC,10178,TNM,28032598,"STAT3 expression correlated with several clinicopathological features, including tumor size, pathological satellite, vascular invasion, undifferentiated-type histology, lymph node metastasis and TNM stage in two independent cohorts of ICC patients.",Negative
MESH:D009369,tumour,22060,p53,28032868,The tumour suppressor p53 plays an important role in somatic cell reprogramming.,Negative
MESH:D014388,lymph node metastasis,406892,miR-100,28032929,"The Ingenuity Pathway Analysis, TargetScan software analyses, and subsequent verification of mRNA expression by real-time PCR identified mammalian target of rapamycin (mTOR) and insulin-like growth factor 1 receptor (IGF1R) as direct, and Fas and X-linked inhibitor-of-apoptosis protein (XIAP) as indirect candidate targets for miR-100 involved in lymph node metastasis.",Negative
MESH:C538394,HC,102185772,myeloperoxidase,28032994,"The protein abundance of pp65, gene expression of proinflammatory cytokines, and activity of myeloperoxidase (MPO) and matrix metalloproteinase (MMP)-2,9 in the rumen epithelium were significantly down-regulated by SB compared with those in the HC group.",Negative
MESH:D016510,angiogenesis,210582,GM1,28032600,"Interestingly, GM1-stimulated macrophages secreted monocyte chemoattractant protein-1 (MCP-1/CCL2) through a CD206/yc/STAT6-mediated signaling pathway and induced angiogenesis.",Negative
MESH:D016510,angiogenesis,4360,CD206,28032600,"Interestingly, GM1-stimulated macrophages secreted monocyte chemoattractant protein-1 (MCP-1/CCL2) through a CD206/yc/STAT6-mediated signaling pathway and induced angiogenesis.",Negative
MESH:D016510,angiogenesis,6778,STAT6,28032600,"Interestingly, GM1-stimulated macrophages secreted monocyte chemoattractant protein-1 (MCP-1/CCL2) through a CD206/yc/STAT6-mediated signaling pathway and induced angiogenesis.",Negative
MESH:D014681,VPI,241,flap,28033190,Sixty-six children who underwent modified superiorly based pharyngeal flap for treatment of VPI between 2005 and 2013 were retrospectively reviewed.,Negative
MESH:D008569,memory damage,116671,P35,28033307,"However, VPA improved the memory damage caused by CSE in P35 rats.",Negative
MESH:D009369,tumor,12306,ANXA2,28032857,The integration from our omics-based research provides a four molecular pathway foundation (ANXA2/HMGA1/POU3F1; NFRSF13/GSN; TMOD3/RAI14/VWF; and PLAT/PLAU) behind HO-1 regulation of tumor cytoskeletal cell compartments.,Negative
MESH:D009369,tumor,18791,PLAT,28032857,The integration from our omics-based research provides a four molecular pathway foundation (ANXA2/HMGA1/POU3F1; NFRSF13/GSN; TMOD3/RAI14/VWF; and PLAT/PLAU) behind HO-1 regulation of tumor cytoskeletal cell compartments.,Negative
MESH:D005891,gingivitis,5346,peri,28033066,"However, the literature suggests that differences exist in the microbial insult and inflammatory responses leading to gingivitis and peri-implant mucositis.",Negative
MESH:D052016,mucositis,5346,peri,28033066,"However, the literature suggests that differences exist in the microbial insult and inflammatory responses leading to gingivitis and peri-implant mucositis.",Negative
MESH:C535338,Total protein content,6863,Substance P,28033160,Total protein content (TPC) and Substance P concentrations were determined.,Negative
MESH:C535600,2-hydroxypropyl-b-cyclodextrin,3552,IL-1a,28033682,"This study compared the in-vitro effects of ropivacaine (ropi) in plain, liposomal (MLV) or 2-hydroxypropyl-b-cyclodextrin (HP-b-CD) formulations on cell viability, apoptosis and cytokine (IL-1a, TNF-a, IL-6 and IL-10) release.",Negative
MESH:C535600,2-hydroxypropyl-b-cyclodextrin,3569,IL-6,28033682,"This study compared the in-vitro effects of ropivacaine (ropi) in plain, liposomal (MLV) or 2-hydroxypropyl-b-cyclodextrin (HP-b-CD) formulations on cell viability, apoptosis and cytokine (IL-1a, TNF-a, IL-6 and IL-10) release.",Negative
MESH:C535600,2-hydroxypropyl-b-cyclodextrin,3586,IL-10,28033682,"This study compared the in-vitro effects of ropivacaine (ropi) in plain, liposomal (MLV) or 2-hydroxypropyl-b-cyclodextrin (HP-b-CD) formulations on cell viability, apoptosis and cytokine (IL-1a, TNF-a, IL-6 and IL-10) release.",Negative
MESH:C535600,2-hydroxypropyl-b-cyclodextrin,7124,TNF-a,28033682,"This study compared the in-vitro effects of ropivacaine (ropi) in plain, liposomal (MLV) or 2-hydroxypropyl-b-cyclodextrin (HP-b-CD) formulations on cell viability, apoptosis and cytokine (IL-1a, TNF-a, IL-6 and IL-10) release.",Negative
MESH:D002575,cervicitis,3061,Ox1R,28032723,Study Design: We used polymerase chain reaction (PCR) and immunohistochemical staining to determine the expression of both Ox1R and Ox2R in cervical cancer and cervicitis biopsies collected from Uyghur women infected with human papilloma virus (HPV)16.,Negative
MESH:D002575,cervicitis,3062,Ox2R,28032723,Study Design: We used polymerase chain reaction (PCR) and immunohistochemical staining to determine the expression of both Ox1R and Ox2R in cervical cancer and cervicitis biopsies collected from Uyghur women infected with human papilloma virus (HPV)16.,Negative
MESH:D014390,TB,3558,IL-2,28033330,"The concentration of IFN-y, IP-10, and IL-2 was determined in peripheral blood mononuclear cells (PBMCs) after short-term (24h) or long-term (72h) stimulation with TB antigens including ESAT-6/CFP-10 (EC) and purified protein derivative (PPD).EC-stimulated IL-2 and gamma interferon-inducible protein 10 (IP-10) release (24h and 72h) showed a good diagnostic performance in distinguishing between TB-infected and TB-uninfected individuals, but failed to discriminate between ATB and LTBI.",Negative
MESH:C536382,ROP,3091,HIF-1a,28033392,"METHOD: Vitreous of ROP patients (n = 44, median age 5.5 months) was quantified for RRAS components, VEGF, HIF-1a and compared with age matched control.",Negative
MESH:C536382,ROP,7422,VEGF,28033392,"METHOD: Vitreous of ROP patients (n = 44, median age 5.5 months) was quantified for RRAS components, VEGF, HIF-1a and compared with age matched control.",Negative
MESH:D015658,HIV,5725,PTB,28033402,"The incidence rate for PTB and HIV was 0.345 per 100,000.",Negative
MESH:D020295,stemness,100846986,OCT4,28033430,"The up-regulation of LGR5 was also positively associated with stemness regulators (NANOG, OCT4, SOX2, and AICDA) and EMT inducers (PRRX1, TWIST1, and BMI1).",Negative
MESH:D020295,stemness,11628,AICDA,28033430,"The up-regulation of LGR5 was also positively associated with stemness regulators (NANOG, OCT4, SOX2, and AICDA) and EMT inducers (PRRX1, TWIST1, and BMI1).",Negative
MESH:D020295,stemness,12151,BMI1,28033430,"The up-regulation of LGR5 was also positively associated with stemness regulators (NANOG, OCT4, SOX2, and AICDA) and EMT inducers (PRRX1, TWIST1, and BMI1).",Negative
MESH:D013274,gastric cancer,14160,LGR5,28033430,"CONCLUSION: The LGR5-expressing fraction of CD54+ cells represents gastric cancer CSCs, in which LGR5 is closely associated with stemness and EMT core genes, and NANOG expression is mainly contributed by the retrogene NANOGP8.",Negative
MESH:D020295,stemness,18933,PRRX1,28033430,"The up-regulation of LGR5 was also positively associated with stemness regulators (NANOG, OCT4, SOX2, and AICDA) and EMT inducers (PRRX1, TWIST1, and BMI1).",Negative
MESH:D020295,stemness,20674,SOX2,28033430,"The up-regulation of LGR5 was also positively associated with stemness regulators (NANOG, OCT4, SOX2, and AICDA) and EMT inducers (PRRX1, TWIST1, and BMI1).",Negative
MESH:D020295,stemness,22160,TWIST1,28033430,"The up-regulation of LGR5 was also positively associated with stemness regulators (NANOG, OCT4, SOX2, and AICDA) and EMT inducers (PRRX1, TWIST1, and BMI1).",Negative
MESH:D020295,stemness,71950,NANOG,28033430,"The up-regulation of LGR5 was also positively associated with stemness regulators (NANOG, OCT4, SOX2, and AICDA) and EMT inducers (PRRX1, TWIST1, and BMI1).",Negative
MESH:D009336,tumor necrosis factor a,24248,catalase,28033582,"Biochemical analysis of serum samples and sciatic nerve and dorsal root ganglion (DRG) lysates showed restoration or improvement of nuclear factor-<kappa>B (NF-kB), malondialdehyde (MDA) level, activity of superoxide dismutase (SOD), catalase, tumor necrosis factor a (TNFa), and interleukin 1b (IL-1b) upon diosgenin treatment of diabetic rats.",Negative
MESH:D009336,tumor necrosis factor a,24494,interleukin 1b,28033582,"Biochemical analysis of serum samples and sciatic nerve and dorsal root ganglion (DRG) lysates showed restoration or improvement of nuclear factor-<kappa>B (NF-kB), malondialdehyde (MDA) level, activity of superoxide dismutase (SOD), catalase, tumor necrosis factor a (TNFa), and interleukin 1b (IL-1b) upon diosgenin treatment of diabetic rats.",Negative
MESH:D006130,dendritic arbor growth,379083,HDAC1,28033671,Both HDAC1 knockdown and overexpression adversely affected dendritic arbor growth and visual experience-dependent structural plasticity.,Negative
MESH:D009461,"particular, the deficits",379083,HDAC1,28033671,"In particular, the deficits in dendritic growth and visually guided avoidance behavior in HDAC1-knockdown tadpoles could be rescued by acute tectal infusion of BDNF.",Negative
MESH:D050197,atherosclerosis,16171,IL-17A,28034277,Recent studies demonstrate an association of IL-17A with atherosclerosis.,Negative
MESH:D030342,GaMD,1131,M3 muscarinic receptor,28034310,Further GaMD simulations have captured folding of the chignolin and binding of the acetylcholine (ACh) endogenous agonist to the M3 muscarinic receptor.,Negative
MESH:D008659,MetS,1035438,c=0.580,28033696,"The MHR had a moderate value for discriminating MetS from the non-MetS state (c=0.580, P=0.004) with the optimal cutoff point of 140 beats per min.",Negative
MESH:C531816,AR deficient,104153,SPL,28034618,"Wildtype (WT) and AR deficient mice were exposed to octave band noise (8-16  kHz, 100  dB SPL) for 2  h to induce cochlear injury and hearing loss.",Negative
MESH:D014947,cochlear injury,104153,SPL,28034618,"Wildtype (WT) and AR deficient mice were exposed to octave band noise (8-16  kHz, 100  dB SPL) for 2  h to induce cochlear injury and hearing loss.",Negative
MESH:D034381,hearing loss,104153,SPL,28034618,"Wildtype (WT) and AR deficient mice were exposed to octave band noise (8-16  kHz, 100  dB SPL) for 2  h to induce cochlear injury and hearing loss.",Negative
MESH:D001943,breast cancer,20850,STAT5A,28034671,Promoter analysis revealed that NOX5-L expression is regulated by STAT5A in breast cancer cells.,Negative
MESH:D009369,cancer,20850,STAT5A,28034671,Promoter analysis revealed that NOX5-L expression is regulated by STAT5A in breast cancer cells.,Negative
MESH:D002282,alveolar type 2,186,AT2,28034695,"The lipid transporter, ATP binding cassette class A3 (ABCA3), plays a critical role in the biogenesis of alveolar type 2 (AT2) cell lamellar bodies (LBs).",Negative
MESH:D000013,histopathological defects,25402,caspase-3,28034658,"Twenty-four hours after the last administration, blood and kidney samples were collected to test for biochemical indexes of kidney injury, oxidative stress, histopathological defects, apoptosis rate, and caspase-3 protein expression to assess the protective effect of RSG water-extracts against GM-induced kidney injury.",Negative
MESH:C535533,ICC,2263,FGFR2,28034880,"The FGFR inhibitor BGJ398 displayed encouraging efficacy in patients with FGFR2 fusion-positive ICC in a phase II trial, but the durability of response was limited in some patients.",Negative
MESH:D020022,atopic predisposition,10800,CysLTR1,28034578,"Associations between SE sensitization and CysLTR1 polymorphism (rs2806489), a potential regulatory variant for atopic predisposition in women, were also assessed in a sex-stratified manner.",Negative
MESH:D001851,osteopenia,28,ABO blood group,28034588,"In this study, the association between the ABO blood group and the prevalence of osteoporosis and osteopenia in an elderly population was investigated.",Negative
MESH:D006528,hepatocellular carcinoma,100422957,miR-3131,28034876,"In this study, we evaluated the association of an indel polymorphism rs57408770 in pre-miR-3131 with hepatocellular carcinoma (HCC) susceptibility in a Chinese population.",Negative
MESH:D014766,viremia,10625,NS1,28034883,"In the multivariate logistic model, a history of vomiting, lower platelet count, elevated aspartate aminotransferase (AST) level, positivity in the nonstructural protein 1 (NS1) rapid test, and viremia magnitude were all independently associated with severe dengue.",Negative
MESH:D014766,viremia,26503,aspartate aminotransferase,28034883,"In the multivariate logistic model, a history of vomiting, lower platelet count, elevated aspartate aminotransferase (AST) level, positivity in the nonstructural protein 1 (NS1) rapid test, and viremia magnitude were all independently associated with severe dengue.",Negative
MESH:D006973,HTN,11606,angiotensin II,28034583,METHODS: Normotensive (BPN3) mice at 14-16  weeks of age underwent implantation of osmotic infusion pumps for 28-day angiotensin II (AngII) delivery (1.46  mg/kg/day; BPN3+AngII; n  = 8) to induce HTN.,Negative
MESH:D006973,hypertensive,17390,MMP-2,28034583,"The TA and AA were harvested to determine levels of MMP-2, MMP-9, and membrane type 1-MMP, and cathepsins S, K, and L were evaluated in age-matched BPN3 (n  = 8) control and BPH2 spontaneously hypertensive mice (non-AngII pathway; n  = 7).",Negative
MESH:C538387,regulator of G-protein signaling,851173,Sst2,28034910,"We developed a complete mathematical model of this step, which suggested the ability to compute fractional occupancy depends on the physical interaction between the inhibitory regulator of G-protein signaling (RGS), Sst2, and the receptor.",Negative
MESH:D051359,hemophagocytic syndrome,81897,toll-like receptor 9,28034913,"In this study, we used the toll-like receptor 9 (TLR9)-mediated model of a hemophagocytic syndrome known as macrophage activation syndrome (MAS) to dissect the predominant immune cell populations infiltrating the liver during inflammation.",Negative
MESH:D055501,macrophage activation syndrome,81897,toll-like receptor 9,28034913,"In this study, we used the toll-like receptor 9 (TLR9)-mediated model of a hemophagocytic syndrome known as macrophage activation syndrome (MAS) to dissect the predominant immune cell populations infiltrating the liver during inflammation.",Negative
MESH:D019966,dependence,820651,AtPME3,28034952,"Simulations revealed the structural determinants of the pH dependence for the interaction of these inhibitors with AtPME3, a major PME expressed in roots.",Negative
MESH:D007238,Infarcts,50779,RGS6,28035008,Infarcts in RGS6<sup>-/-</sup>hearts were significantly larger than infarcts in RGS6<sup>+/+</sup>hearts.,Negative
MESH:D007238,Infarcts,9628,RGS6,28035008,Infarcts in RGS6<sup>-/-</sup>hearts were significantly larger than infarcts in RGS6<sup>+/+</sup>hearts.,Negative
MESH:D014777,viral infection,442206,GPCR,28035083,This review will aid in our understanding of how pathogenic viruses usurp the host GPCR signaling for successful viral infection.,Negative
MESH:D020167,CML,177,receptor for advanced glycation end products,28035243,"), H_E staining (for plaque morphology), vonKossa staining (for qualitative analysis of calcification), calcium content assay (for quantitative analysis of calcification), and Western blot analyses of CML, receptor for advanced glycation end products (RAGE), NADPH oxidase 4, phosphorylated p38, core-binding factor a1 (cbfa1), alkaline phosphatase (ALP) and b-actin were then performed.",Negative
MESH:D002289,non-small cell lung cancer,109689,ARRB1,28035404,"In the present study, non-small cell lung cancer (NSCLC) cell lines (H520 and SK-MES-1) were transfected with ARRB1 plasmids or small interfering ribonucleic acid (siRNA) and received treatment with DNA-damaging agents (cisplatin and etoposide).",Negative
MESH:D009369,cancer,109689,ARRB1,28035404,"In the present study, non-small cell lung cancer (NSCLC) cell lines (H520 and SK-MES-1) were transfected with ARRB1 plasmids or small interfering ribonucleic acid (siRNA) and received treatment with DNA-damaging agents (cisplatin and etoposide).",Negative
MESH:D009298,nasal polyps,10673,B-cell activating factor,28035475,B-cell activating factor of the TNF family is critical for the survival and maturation of B cells and play a role in the pathophysiology of chronic rhinosinusitis with nasal polyps (CRSwNP).,Negative
MESH:C536657,TNF,10673,B-cell activating factor,28035475,B-cell activating factor of the TNF family is critical for the survival and maturation of B cells and play a role in the pathophysiology of chronic rhinosinusitis with nasal polyps (CRSwNP).,Negative
MESH:D006973,hypertension,11610,AT1R,28034895,"CONCLUSION: Despite upregulation of AT1R and P2X1R in hypertension, Up4A-mediated aortic contraction was impaired in Ang II-infused mice, likely through the desensitization of P2X1R but not AT1R.",Negative
MESH:D006528,hepatocellular carcinoma,14734,GPC3,28035433,"Recently, we reported that GPC3-targeted CAR-T cells could eradicate hepatocellular carcinoma (HCC) xenografts in mice.",Negative
MESH:D015212,inflammatory bowel disease,671,Bactericidal/permeability increasing protein,28035462,"OBJECTIVE: Bactericidal/permeability increasing protein (BPI) gene polymorphisms have been extensively investigated in terms of their associations with inflammatory bowel disease (IBD), with contradictory results.",Negative
MESH:D000544,Alzheimer's disease,23821,BACE1,28035928,"UNASSIGNED: The amyloid-b protein precursor (AbPP) is cleaved by a transmembrane protease termed b-site AbPP cleavage enzyme (BACE1), which is being explored as a target for therapy and prevention of Alzheimer's disease (AD).",Negative
MESH:D000014,preterm birth,5177,PE/E,28035193,Calcium supplementation has been shown to reduce the risk of PE/E for pregnant women and preterm birth.,Negative
MESH:D002812,enchondroma,4312,MMP-1,28035378,"Surgical pathological specimens were collected to detect MMP-1, MMP-13, TIMP-1, type  II collagen and phosphorylated MAPK levels in normal cartilage, enchondroma and chondrosarcoma tissues.",Negative
MESH:D002813,chondrosarcoma,7076,"TIMP-1, type  II collagen",28035378,"Surgical pathological specimens were collected to detect MMP-1, MMP-13, TIMP-1, type  II collagen and phosphorylated MAPK levels in normal cartilage, enchondroma and chondrosarcoma tissues.",Negative
MESH:D002812,enchondroma,7076,"TIMP-1, type  II collagen",28035378,"Surgical pathological specimens were collected to detect MMP-1, MMP-13, TIMP-1, type  II collagen and phosphorylated MAPK levels in normal cartilage, enchondroma and chondrosarcoma tissues.",Negative
MESH:D005355,fibrosis,20303,CCl4,28035772,Our results show deregulated neddylation in clinical fibrosis and both in mouse bileductligation- and CCl4 -induced fibrosis.,Negative
MESH:D017827,wild-type,11816,ApoE,28035926,"METHODS: Cerebral ceramide and FA profiles were determined by LC-MSMS in 15-month-old female wild-type (WT), ApoE-knockout (E0), and hE4-knockin mice fed chow or a HFHC diet for 3 months.",Negative
MESH:D017827,wild-type,9354,hE4,28035926,"METHODS: Cerebral ceramide and FA profiles were determined by LC-MSMS in 15-month-old female wild-type (WT), ApoE-knockout (E0), and hE4-knockin mice fed chow or a HFHC diet for 3 months.",Negative
